ticker,close,volume,value_traded,change_%,hhi_score,foreign_ratio,quant_score,tarih,high,low,prev_quant_score,score_diff
SKBNK,6.17,70164406.0,432914385.02,-1.2800000000000011,0.0,0.0,46.16,2026-08-25,,,,
IZENR,8.28,14732387.0,121984164.35999998,-1.3110846245530536,0.0,0.0,46.08,2026-08-25,,,,
HKTM,13.93,21286126.0,296515735.18,-1.345609065155804,0.0,0.0,46.0,2026-08-25,,,,
TABGD,251.5,594290.0,149463935.0,-1.3725490196078431,0.0,0.0,45.92,2026-08-25,,,,
KATMR,2.09,54658699.0,114236680.91,-1.4150943396226532,0.0,0.0,45.84,2026-08-25,,,,
MGROS,557.0,2358379.0,1313617103.0,-1.415929203539823,0.0,0.0,45.760000000000005,2026-08-25,,,,
ALBTN,34.7,45348461.0,1573591596.7,-1.4204545454545454,0.0,0.0,45.68000000000001,2026-08-25,,,,
MPARK,438.75,401445.0,176133993.75,-1.45985401459854,0.0,0.0,45.6,2026-08-25,,,,
TUKAS,2.0,50769738.0,101539476.0,-1.4778325123152616,0.0,0.0,45.52,2026-08-25,,,,
BTCIM,4.63,48369830.0,223952312.9,-1.4893617021276655,0.0,0.0,45.440000000000005,2026-08-25,,,,
TSKB,10.98,23046339.0,253048802.22,-1.524663677130044,0.0,0.0,45.36,2026-08-25,,,,
PAPIL,13.26,22555718.0,299088820.68,-1.559020044543436,0.0,0.0,45.28,2026-08-25,,,,
ECOGR,36.1,4937771.0,178253533.1,-1.5812431842966146,0.0,0.0,45.2,2026-08-25,,,,
SOKM,57.9,4687952.0,271432420.8,-1.614273576890404,0.0,0.0,45.120000000000005,2026-08-25,,,,
ALVES,1.78,62460359.0,111179439.02,-1.657458563535913,0.0,0.0,45.040000000000006,2026-08-25,,,,
ODAS,6.99,22127531.0,154671441.69,-1.6877637130801704,0.0,0.0,44.96,2026-08-25,,,,
HEKTS,2.85,395691393.0,1127720470.05,-1.7241379310344769,0.0,0.0,44.88,2026-08-25,,,,
MASFN,43.02,9539482.0,410388515.6400001,-1.7359524897213294,0.0,0.0,44.8,2026-08-25,,,,
QUICK,69.9,5722733.0,400019036.7000001,-1.7568517217146873,0.0,0.0,44.72,2026-08-25,,,,
ENJSA,108.6,2108248.0,228955732.8,-1.8083182640144664,0.0,0.0,44.64,2026-08-25,,,,
BSOKE,32.8,3703508.0,121475062.4,-1.8551765409934309,0.0,0.0,44.56,2026-08-25,,,,
FROTO,78.6,20168839.0,1585270745.4,-1.872659176029963,0.0,0.0,44.48,2026-08-25,,,,
EKDMR,47.16,6695263.0,315748603.08,-1.954261954261964,0.0,0.0,44.400000000000006,2026-08-25,,,,
ANSGR,27.76,4235423.0,117575342.48,-1.977401129943498,0.0,0.0,44.32,2026-08-25,,,,
KUYAS,63.6,3189373.0,202844122.8,-2.1538461538461515,0.0,0.0,44.24,2026-08-25,,,,
BETAE,98.75,9249947.0,913432266.25,-2.2277227722772275,0.0,0.0,44.16,2026-08-25,,,,
PRZMA,77.35,4058465.0,313922267.75,-2.274162981680368,0.0,0.0,44.08,2026-08-25,,,,
AKSA,11.01,16749804.0,184415342.04,-2.307009760425908,0.0,0.0,44.0,2026-08-25,,,,
RYSAS,23.52,13062494.0,307229858.88,-2.325581395348832,0.0,0.0,43.92,2026-08-25,,,,
DENGE,2.45,71860919.0,176059251.55,-2.3904382470119367,0.0,0.0,43.84,2026-08-25,,,,
SOHOE,10.82,17962430.0,194353492.6,-2.4346257889990945,0.0,0.0,43.760000000000005,2026-08-25,,,,
GUBRF,480.25,3381954.0,1624183408.5,-2.437785678009142,0.0,0.0,43.68,2026-08-25,,,,
KLRHO,67.15,4516940.0,303312521.0,-2.4691358024691192,0.0,0.0,43.6,2026-08-25,,,,
EGEGY,31.42,5369908.0,168722509.36,-2.6641883519206924,0.0,0.0,43.52,2026-08-25,,,,
EFOR,19.27,108560812.0,2091966847.24,-2.6767676767676827,0.0,0.0,43.44,2026-08-25,,,,
PSGYO,3.4,117699983.0,400179942.2,-2.85714285714286,0.0,0.0,43.36,2026-08-25,,,,
DOHOL,21.04,13248986.0,278758665.44,-2.862419205909516,0.0,0.0,43.28,2026-08-25,,,,
MCARD,157.0,2183538.0,342815466.0,-2.906617192331471,0.0,0.0,43.2,2026-08-25,,,,
EKGYO,20.08,197439856.0,3964592308.48,-3.0888030888030915,0.0,0.0,43.120000000000005,2026-08-25,,,,
ESCOM,5.59,22434457.0,125408614.63,-3.119584055459267,0.0,0.0,43.040000000000006,2026-08-25,,,,
